territory,group,sex,age_group,age_low,year,deaths,final_pred,final_ci_low,final_ci_high,excess,excess_low,excess_high,trend_pred,mean_pred,lc_pred,trend_ci_low,trend_ci_up,mean_ci_low,mean_ci_up,lc_ci_low,lc_ci_up
Armenia,War,Female,0 - 4,0,2015,187,,,,,,,,,,,,,,,
Armenia,War,Female,May-14,5,2015,34,,,,,,,,,,,,,,,
Armenia,War,Female,15 - 19,15,2015,13,,,,,,,,,,,,,,,
Armenia,War,Female,20 - 24,20,2015,32,,,,,,,,,,,,,,,
Armenia,War,Female,25 - 29,25,2015,34,,,,,,,,,,,,,,,
Armenia,War,Female,30 - 34,30,2015,53,,,,,,,,,,,,,,,
Armenia,War,Female,35 - 39,35,2015,89,,,,,,,,,,,,,,,
Armenia,War,Female,40 - 44,40,2015,127,,,,,,,,,,,,,,,
Armenia,War,Female,45 - 49,45,2015,222,,,,,,,,,,,,,,,
Armenia,War,Female,50 - 54,50,2015,391,,,,,,,,,,,,,,,
Armenia,War,Female,55 - 59,55,2015,615,,,,,,,,,,,,,,,
Armenia,War,Female,60 - 64,60,2015,764,,,,,,,,,,,,,,,
Armenia,War,Female,65 - 69,65,2015,952,,,,,,,,,,,,,,,
Armenia,War,Female,70 - 74,70,2015,969,,,,,,,,,,,,,,,
Armenia,War,Female,75 - 79,75,2015,2679,,,,,,,,,,,,,,,
Armenia,War,Female,80+,80,2015,6415,,,,,,,,,,,,,,,
Armenia,War,Male,0 - 4,0,2015,248,,,,,,,,,,,,,,,
Armenia,War,Male,May-14,5,2015,56,,,,,,,,,,,,,,,
Armenia,War,Male,15 - 19,15,2015,64,,,,,,,,,,,,,,,
Armenia,War,Male,20 - 24,20,2015,124,,,,,,,,,,,,,,,
Armenia,War,Male,25 - 29,25,2015,131,,,,,,,,,,,,,,,
Armenia,War,Male,30 - 34,30,2015,152,,,,,,,,,,,,,,,
Armenia,War,Male,35 - 39,35,2015,166,,,,,,,,,,,,,,,
Armenia,War,Male,40 - 44,40,2015,286,,,,,,,,,,,,,,,
Armenia,War,Male,45 - 49,45,2015,451,,,,,,,,,,,,,,,
Armenia,War,Male,50 - 54,50,2015,884,,,,,,,,,,,,,,,
Armenia,War,Male,55 - 59,55,2015,1336,,,,,,,,,,,,,,,
Armenia,War,Male,60 - 64,60,2015,1459,,,,,,,,,,,,,,,
Armenia,War,Male,65 - 69,65,2015,1385,,,,,,,,,,,,,,,
Armenia,War,Male,70 - 74,70,2015,1190,,,,,,,,,,,,,,,
Armenia,War,Male,75 - 79,75,2015,2560,,,,,,,,,,,,,,,
Armenia,War,Male,80+,80,2015,3810,,,,,,,,,,,,,,,
Armenia,War,Female,0 - 4,0,2016,162,,,,,,,,,,,,,,,
Armenia,War,Female,May-14,5,2016,32,,,,,,,,,,,,,,,
Armenia,War,Female,15 - 19,15,2016,13,,,,,,,,,,,,,,,
Armenia,War,Female,20 - 24,20,2016,35,,,,,,,,,,,,,,,
Armenia,War,Female,25 - 29,25,2016,43,,,,,,,,,,,,,,,
Armenia,War,Female,30 - 34,30,2016,59,,,,,,,,,,,,,,,
